time,light,sound
12-5-17:26:58:3,27,13
12-5-17:26:58:4,28,72
12-5-17:26:58:5,29,191
12-5-17:26:58:6,29,71
12-5-17:26:58:7,29,94
12-5-17:26:58:8,29,36
12-5-17:26:58:9,27,31
12-5-17:26:59:10,27,48
12-5-17:26:59:1,27,89
12-5-17:26:59:2,27,230
12-5-17:26:59:3,28,139
12-5-17:26:59:4,28,75
12-5-17:26:59:5,27,39
12-5-17:26:59:6,28,55
12-5-17:26:59:7,28,28
12-5-17:26:59:8,27,49
12-5-17:26:59:9,27,41
12-5-17:27:0:10,28,33
12-5-17:27:0:1,28,59
12-5-17:27:0:2,29,19
12-5-17:27:0:3,29,26
12-5-17:27:0:4,28,29
12-5-17:27:0:5,29,69
12-5-17:27:0:6,29,32
12-5-17:27:0:7,29,42
12-5-17:27:0:8,28,33
12-5-17:27:0:9,28,31
12-5-17:27:1:10,28,25
12-5-17:27:1:1,28,21
12-5-17:27:1:2,29,61
12-5-17:27:1:3,29,19
12-5-17:27:1:4,28,24
12-5-17:27:1:5,30,97
12-5-17:27:1:6,29,39
12-5-17:27:1:7,28,35
12-5-17:27:1:8,28,17
12-5-17:27:1:9,28,33
12-5-17:27:2:10,29,15
12-5-17:27:2:1,28,27
12-5-17:27:2:2,28,12
12-5-17:27:2:3,29,27
12-5-17:27:2:4,29,45
12-5-17:27:2:5,28,15
12-5-17:27:2:6,27,53
12-5-17:27:2:7,28,19
12-5-17:27:2:8,28,14
12-5-17:27:2:9,29,51
12-5-17:27:3:10,29,18
12-5-17:27:3:1,29,35
12-5-17:27:3:2,28,17
12-5-17:27:3:3,29,16
12-5-17:27:3:4,29,25
12-5-17:27:3:5,29,20
12-5-17:27:3:6,29,25
12-5-17:27:3:7,29,17
12-5-17:27:3:8,29,10
12-5-17:27:3:9,29,22
12-5-17:27:4:10,28,21
12-5-17:27:4:1,29,17
12-5-17:27:4:2,31,31
12-5-17:27:4:3,29,22
12-5-17:27:4:4,29,96
12-5-17:27:4:5,29,136
12-5-17:27:4:6,29,56
12-5-17:27:4:7,29,22
12-5-17:27:4:8,28,11
12-5-17:27:4:9,29,33
12-5-17:27:5:10,28,14
12-5-17:27:5:1,28,16
12-5-17:27:5:2,30,54
12-5-17:27:5:3,28,17
12-5-17:27:5:4,28,30
12-5-17:27:5:5,29,11
12-5-17:27:5:6,30,33
12-5-17:27:5:7,29,26
12-5-17:27:5:8,28,10
12-5-17:27:5:9,29,53
12-5-17:27:6:10,29,23
12-5-17:27:6:1,30,45
12-5-17:27:6:2,29,22
12-5-17:27:6:3,28,89
12-5-17:27:6:4,29,82
12-5-17:27:6:5,29,65
12-5-17:27:6:6,30,41
12-5-17:27:6:7,29,24
12-5-17:27:6:8,28,17
12-5-17:27:6:9,29,48
12-5-17:27:7:10,29,27
12-5-17:27:7:1,30,89
12-5-17:27:7:2,29,32
12-5-17:27:7:3,29,39
12-5-17:27:7:4,29,39
12-5-17:27:7:5,29,31
12-5-17:27:7:6,29,31
12-5-17:27:7:7,29,61
12-5-17:27:7:8,29,61
12-5-17:27:7:9,28,12
12-5-17:27:8:10,28,12
12-5-17:27:8:1,30,69
12-5-17:27:8:2,29,22
12-5-17:27:8:3,28,11
12-5-17:27:8:4,29,15
12-5-17:27:8:5,29,12
12-5-17:27:8:6,29,15
12-5-17:27:8:7,29,10
12-5-17:27:8:8,29,14
12-5-17:27:8:9,28,15
12-5-17:27:9:10,29,14
12-5-17:27:9:1,29,24
12-5-17:27:9:2,29,18
12-5-17:27:9:3,28,15
12-5-17:27:9:4,28,18
12-5-17:27:9:5,29,15
12-5-17:27:9:6,29,14
12-5-17:27:9:7,29,10
12-5-17:27:9:8,29,15
12-5-17:27:9:9,28,11
12-5-17:27:10:10,28,14
12-5-17:27:10:1,28,9
12-5-17:27:10:2,28,17
12-5-17:27:10:3,28,13
12-5-17:27:10:4,28,44
12-5-17:27:10:5,29,14
12-5-17:27:10:6,27,13
12-5-17:27:10:7,28,18
12-5-17:27:10:8,29,55
12-5-17:27:10:9,29,28
12-5-17:27:11:10,29,16
12-5-17:27:11:1,28,18
12-5-17:27:11:2,29,25
12-5-17:27:11:3,28,15
12-5-17:27:11:4,30,12
12-5-17:27:11:5,29,16
12-5-17:27:11:6,28,14
12-5-17:27:11:7,28,11
12-5-17:27:11:8,29,25
12-5-17:27:11:9,30,18
12-5-17:27:12:10,28,10
12-5-17:27:12:1,28,14
12-5-17:27:12:2,28,13
12-5-17:27:12:3,29,33
12-5-17:27:12:4,28,35
12-5-17:27:12:5,29,27
12-5-17:27:12:6,27,12
12-5-17:27:12:7,28,22
12-5-17:27:12:8,28,12
12-5-17:27:12:9,29,30
12-5-17:27:13:10,28,11
12-5-17:27:13:1,27,14
12-5-17:27:13:2,28,39
12-5-17:27:13:3,29,13
12-5-17:27:13:4,29,26
12-5-17:27:13:5,29,13
12-5-17:27:13:6,28,13
12-5-17:27:13:7,29,10
12-5-17:27:13:8,29,21
12-5-17:27:13:9,29,13
12-5-17:27:14:10,27,12
12-5-17:27:14:1,28,108
12-5-17:27:14:2,28,39
12-5-17:27:14:3,28,15
12-5-17:27:14:4,28,21
12-5-17:27:14:5,27,170
12-5-17:27:14:6,28,63
12-5-17:27:14:7,28,73
12-5-17:27:14:8,29,48
12-5-17:27:14:9,28,26
12-5-17:27:15:10,28,36
12-5-17:27:15:1,28,103
12-5-17:27:15:2,28,33
12-5-17:27:15:3,28,16
12-5-17:27:15:4,28,13
12-5-17:27:15:5,27,11
12-5-17:27:15:6,28,17
12-5-17:27:15:7,28,36
12-5-17:27:15:8,28,36
12-5-17:27:15:9,28,35
12-5-17:27:16:10,27,27
12-5-17:27:16:1,28,25
12-5-17:27:16:2,28,25
12-5-17:27:16:3,29,25
12-5-17:27:16:4,28,13
12-5-17:27:16:5,27,11
12-5-17:27:16:6,28,17
12-5-17:27:16:7,28,12
12-5-17:27:16:8,29,15
12-5-17:27:16:9,29,18
12-5-17:27:17:10,28,13
12-5-17:27:17:1,28,17
12-5-17:27:17:2,28,21
12-5-17:27:17:3,29,10
12-5-17:27:17:4,29,9
12-5-17:27:17:5,28,15
12-5-17:27:17:6,28,11
12-5-17:27:17:7,29,27
12-5-17:27:17:8,29,29
12-5-17:27:17:9,30,57
12-5-17:27:18:10,29,76
12-5-17:27:18:1,28,28
12-5-17:27:18:2,28,20
12-5-17:27:18:3,28,208
12-5-17:27:18:4,29,91
12-5-17:27:18:5,29,60
12-5-17:27:18:6,29,128
12-5-17:27:18:7,29,50
12-5-17:27:18:8,29,34
12-5-17:27:18:9,29,24
12-5-17:27:19:10,29,24
12-5-17:27:19:1,29,132
12-5-17:27:19:2,28,52
12-5-17:27:19:3,29,39
12-5-17:27:19:4,29,525
12-5-17:27:19:5,29,216
12-5-17:27:19:6,29,117
12-5-17:27:19:7,28,53
12-5-17:27:19:8,29,36
12-5-17:27:19:9,29,61
12-5-17:27:20:10,29,26
12-5-17:27:20:1,28,17
12-5-17:27:20:2,28,10
12-5-17:27:20:3,29,18
12-5-17:27:20:4,28,18
12-5-17:27:20:5,29,21
