time,light,sound
12-5-17:25:13:3,18,9
12-5-17:25:13:4,18,9
12-5-17:25:13:5,17,10
12-5-17:25:13:6,17,10
12-5-17:25:13:7,17,15
12-5-17:25:13:8,18,24
12-5-17:25:13:9,17,16
12-5-17:25:14:10,17,16
12-5-17:25:14:1,18,13
12-5-17:25:14:2,18,10
12-5-17:25:14:3,17,9
12-5-17:25:14:4,18,11
12-5-17:25:14:5,17,13
12-5-17:25:14:6,17,12
12-5-17:25:14:7,18,11
12-5-17:25:14:8,18,11
12-5-17:25:14:9,17,16
12-5-17:25:15:10,17,8
12-5-17:25:15:1,17,12
12-5-17:25:15:2,17,8
12-5-17:25:15:3,17,12
12-5-17:25:15:4,17,11
12-5-17:25:15:5,17,9
12-5-17:25:15:6,17,9
12-5-17:25:15:7,18,9
12-5-17:25:15:8,18,9
12-5-17:25:15:9,17,9
12-5-17:25:16:10,18,9
12-5-17:25:16:1,17,9
12-5-17:25:16:2,17,10
12-5-17:25:16:3,16,9
12-5-17:25:16:4,17,11
12-5-17:25:16:5,17,18
12-5-17:25:16:6,17,10
12-5-17:25:16:7,17,9
12-5-17:25:16:8,17,9
12-5-17:25:16:9,17,17
12-5-17:25:17:10,18,18
12-5-17:25:17:1,18,28
12-5-17:25:17:2,17,21
12-5-17:25:17:3,18,24
12-5-17:25:17:4,18,17
12-5-17:25:17:5,17,27
12-5-17:25:17:6,17,16
12-5-17:25:17:7,17,16
12-5-17:25:17:8,16,19
12-5-17:25:17:9,17,14
12-5-17:25:18:10,17,12
12-5-17:25:18:1,17,9
12-5-17:25:18:2,17,14
12-5-17:25:18:3,17,18
12-5-17:25:18:4,17,16
12-5-17:25:18:5,17,19
12-5-17:25:18:6,18,27
12-5-17:25:18:7,17,13
12-5-17:25:18:8,18,19
12-5-17:25:18:9,17,26
12-5-17:25:19:10,17,22
12-5-17:25:19:1,17,18
12-5-17:25:19:2,17,23
12-5-17:25:19:3,17,17
12-5-17:25:19:4,17,17
12-5-17:25:19:5,17,20
12-5-17:25:19:6,18,11
12-5-17:25:19:7,18,25
12-5-17:25:19:8,18,25
12-5-17:25:19:9,18,25
12-5-17:25:20:10,17,15
12-5-17:25:20:1,17,15
12-5-17:25:20:2,17,32
12-5-17:25:20:3,17,23
12-5-17:25:20:4,17,21
12-5-17:25:20:5,17,33
12-5-17:25:20:6,17,53
12-5-17:25:20:7,17,64
12-5-17:25:20:8,17,95
12-5-17:25:20:9,18,33
12-5-17:25:21:10,17,58
12-5-17:25:21:1,17,37
12-5-17:25:21:2,18,41
12-5-17:25:21:3,17,36
12-5-17:25:21:4,17,31
12-5-17:25:21:5,17,81
12-5-17:25:21:6,17,30
12-5-17:25:21:7,17,31
12-5-17:25:21:8,17,46
12-5-17:25:21:9,16,21
12-5-17:25:22:10,17,43
12-5-17:25:22:1,17,14
12-5-17:25:22:2,17,44
12-5-17:25:22:3,17,32
12-5-17:25:22:4,18,21
12-5-17:25:22:5,17,24
12-5-17:25:22:6,17,22
12-5-17:25:22:7,17,12
12-5-17:25:22:8,16,19
12-5-17:25:22:9,17,38
12-5-17:25:23:10,17,87
12-5-17:25:23:1,17,30
12-5-17:25:23:2,17,12
12-5-17:25:23:3,17,30
12-5-17:25:23:4,17,31
12-5-17:25:23:5,17,14
12-5-17:25:23:6,17,25
12-5-17:25:23:7,17,19
12-5-17:25:23:8,17,18
12-5-17:25:23:9,17,23
12-5-17:25:24:10,18,10
12-5-17:25:24:1,17,12
12-5-17:25:24:2,17,26
12-5-17:25:24:3,17,10
12-5-17:25:24:4,16,19
12-5-17:25:24:5,17,31
12-5-17:25:24:6,17,13
12-5-17:25:24:7,17,13
12-5-17:25:24:8,17,47
12-5-17:25:24:9,17,14
12-5-17:25:25:10,18,41
12-5-17:25:25:1,17,27
12-5-17:25:25:2,17,24
12-5-17:25:25:3,17,13
12-5-17:25:25:4,17,22
12-5-17:25:25:5,18,34
12-5-17:25:25:6,17,25
12-5-17:25:25:7,17,30
12-5-17:25:25:8,17,13
12-5-17:25:25:9,17,16
12-5-17:25:26:10,16,16
12-5-17:25:26:1,16,18
12-5-17:25:26:2,17,29
12-5-17:25:26:3,17,14
12-5-17:25:26:4,17,18
12-5-17:25:26:5,17,11
12-5-17:25:26:6,17,11
12-5-17:25:26:7,17,22
12-5-17:25:26:8,17,12
12-5-17:25:26:9,17,12
12-5-17:25:27:10,16,10
12-5-17:25:27:1,17,36
12-5-17:25:27:2,16,102
12-5-17:25:27:3,17,33
12-5-17:25:27:4,17,36
12-5-17:25:27:5,17,22
12-5-17:25:27:6,17,32
12-5-17:25:27:7,17,12
12-5-17:25:27:8,17,13
12-5-17:25:27:9,17,11
12-5-17:25:28:10,17,10
12-5-17:25:28:1,16,12
12-5-17:25:28:2,17,9
12-5-17:25:28:3,17,15
12-5-17:25:28:4,17,19
12-5-17:25:28:5,17,16
12-5-17:25:28:6,17,10
12-5-17:25:28:7,18,10
12-5-17:25:28:8,17,10
12-5-17:25:28:9,17,11
12-5-17:25:29:10,17,13
12-5-17:25:29:1,17,15
12-5-17:25:29:2,17,11
12-5-17:25:29:3,17,11
12-5-17:25:29:4,17,12
12-5-17:25:29:5,18,11
12-5-17:25:29:6,17,10
12-5-17:25:29:7,17,10
12-5-17:25:29:8,17,10
12-5-17:25:29:9,17,10
12-5-17:25:30:10,17,9
12-5-17:25:30:1,17,14
12-5-17:25:30:2,17,13
12-5-17:25:30:3,17,9
12-5-17:25:30:4,18,9
12-5-17:25:30:5,17,10
12-5-17:25:30:6,17,9
12-5-17:25:30:7,17,11
12-5-17:25:30:8,17,12
12-5-17:25:30:9,17,9
12-5-17:25:31:10,17,11
12-5-17:25:31:1,17,8
12-5-17:25:31:2,16,13
12-5-17:25:31:3,17,10
12-5-17:25:31:4,17,11
12-5-17:25:31:5,17,16
12-5-17:25:31:6,17,10
12-5-17:25:31:7,17,15
12-5-17:25:31:8,17,11
12-5-17:25:31:9,17,8
12-5-17:25:32:10,17,10
12-5-17:25:32:1,17,14
12-5-17:25:32:2,17,9
12-5-17:25:32:3,17,12
12-5-17:25:32:4,16,11
12-5-17:25:32:5,16,9
12-5-17:25:32:6,16,9
12-5-17:25:32:7,17,15
12-5-17:25:32:8,17,13
12-5-17:25:32:9,17,12
12-5-17:25:33:10,17,9
12-5-17:25:33:1,16,11
12-5-17:25:33:2,17,11
12-5-17:25:33:3,17,12
12-5-17:25:33:4,17,11
12-5-17:25:33:5,17,13
12-5-17:25:33:6,17,14
12-5-17:25:33:7,17,9
12-5-17:25:33:8,17,12
12-5-17:25:33:9,16,11
12-5-17:25:34:10,17,11
12-5-17:25:34:1,17,10
12-5-17:25:34:2,17,17
12-5-17:25:34:3,17,17
12-5-17:25:34:4,17,10
12-5-17:25:34:5,17,12
12-5-17:25:34:6,17,16
12-5-17:25:34:7,17,11
12-5-17:25:34:8,17,9
12-5-17:25:34:9,17,11
12-5-17:25:35:10,17,11
12-5-17:25:35:1,17,10
12-5-17:25:35:2,16,10
12-5-17:25:35:3,16,8
12-5-17:25:35:4,17,12
12-5-17:25:35:5,16,9
12-5-17:25:35:6,16,9
12-5-17:25:35:7,17,12
12-5-17:25:35:8,17,9
12-5-17:25:35:9,17,10
12-5-17:25:36:10,17,10
12-5-17:25:36:1,17,10
12-5-17:25:36:2,17,8
12-5-17:25:36:3,17,8
12-5-17:25:36:4,16,11
12-5-17:25:36:5,17,12
12-5-17:25:36:6,17,12
12-5-17:25:36:7,17,10
12-5-17:25:36:8,17,9
12-5-17:25:36:9,17,11
12-5-17:25:37:10,17,17
12-5-17:25:37:1,17,10
12-5-17:25:37:2,16,13
12-5-17:25:37:3,17,14
12-5-17:25:37:4,16,9
12-5-17:25:37:5,17,12
12-5-17:25:37:6,16,13
12-5-17:25:37:7,17,9
12-5-17:25:37:8,17,10
12-5-17:25:37:9,16,11
12-5-17:25:38:10,16,8
12-5-17:25:38:1,16,11
12-5-17:25:38:2,17,10
12-5-17:25:38:3,17,10
12-5-17:25:38:4,17,12
12-5-17:25:38:5,16,10
12-5-17:25:38:6,17,13
12-5-17:25:38:7,16,10
12-5-17:25:38:8,17,10
12-5-17:25:38:9,17,11
12-5-17:25:39:10,17,12
12-5-17:25:39:1,17,10
12-5-17:25:39:2,16,9
12-5-17:25:39:3,16,10
12-5-17:25:39:4,17,9
12-5-17:25:39:5,16,13
12-5-17:25:39:6,16,10
12-5-17:25:39:7,17,9
12-5-17:25:39:8,16,11
12-5-17:25:39:9,17,11
12-5-17:25:40:10,17,10
12-5-17:25:40:1,17,11
12-5-17:25:40:2,17,11
12-5-17:25:40:3,17,13
12-5-17:25:40:4,17,10
12-5-17:25:40:5,17,9
12-5-17:25:40:6,17,8
12-5-17:25:40:7,16,12
12-5-17:25:40:8,16,11
12-5-17:25:40:9,16,16
12-5-17:25:41:10,17,9
12-5-17:25:41:1,17,9
12-5-17:25:41:2,16,12
12-5-17:25:41:3,17,9
12-5-17:25:41:4,18,11
12-5-17:25:41:5,17,10
12-5-17:25:41:6,17,11
12-5-17:25:41:7,17,16
12-5-17:25:41:8,17,12
12-5-17:25:41:9,17,11
12-5-17:25:42:10,17,10
12-5-17:25:42:1,17,12
12-5-17:25:42:2,16,11
12-5-17:25:42:3,17,11
12-5-17:25:42:4,16,11
12-5-17:25:42:5,16,11
12-5-17:25:42:6,16,10
12-5-17:25:42:7,16,9
12-5-17:25:42:8,17,9
12-5-17:25:42:9,17,8
12-5-17:25:43:10,17,10
12-5-17:25:43:1,17,10
12-5-17:25:43:2,17,13
12-5-17:25:43:3,17,11
12-5-17:25:43:4,17,12
12-5-17:25:43:5,16,10
12-5-17:25:43:6,16,12
12-5-17:25:43:7,17,12
12-5-17:25:43:8,16,11
12-5-17:25:43:9,16,29
12-5-17:25:44:10,16,19
12-5-17:25:44:1,16,11
12-5-17:25:44:2,17,12
12-5-17:25:44:3,17,11
12-5-17:25:44:4,16,10
12-5-17:25:44:5,17,10
12-5-17:25:44:6,17,10
12-5-17:25:44:7,17,9
12-5-17:25:44:8,16,9
12-5-17:25:44:9,16,11
12-5-17:25:45:10,17,10
12-5-17:25:45:1,17,10
12-5-17:25:45:2,16,8
12-5-17:25:45:3,16,10
12-5-17:25:45:4,16,14
12-5-17:25:45:5,16,11
12-5-17:25:45:6,16,10
12-5-17:25:45:7,16,10
12-5-17:25:45:8,17,10
12-5-17:25:45:9,17,12
12-5-17:25:46:10,17,11
12-5-17:25:46:1,17,9
12-5-17:25:46:2,17,11
12-5-17:25:46:3,18,10
12-5-17:25:46:4,16,12
12-5-17:25:46:5,17,9
12-5-17:25:46:6,17,22
12-5-17:25:46:7,16,33
12-5-17:25:46:8,16,12
12-5-17:25:46:9,16,14
12-5-17:25:47:10,16,15
12-5-17:25:47:1,16,10
12-5-17:25:47:2,17,9
12-5-17:25:47:3,16,15
12-5-17:25:47:4,16,9
12-5-17:25:47:5,17,11
12-5-17:25:47:6,16,10
12-5-17:25:47:7,17,9
12-5-17:25:47:8,16,13
12-5-17:25:47:9,17,13
12-5-17:25:48:10,16,11
12-5-17:25:48:1,16,11
12-5-17:25:48:2,16,8
12-5-17:25:48:3,16,16
12-5-17:25:48:4,16,9
12-5-17:25:48:5,16,13
12-5-17:25:48:6,16,11
12-5-17:25:48:7,16,13
12-5-17:25:48:8,17,10
12-5-17:25:48:9,17,11
12-5-17:25:49:10,16,10
12-5-17:25:49:1,17,9
12-5-17:25:49:2,16,9
12-5-17:25:49:3,16,10
12-5-17:25:49:4,16,12
12-5-17:25:49:5,17,13
12-5-17:25:49:6,16,12
12-5-17:25:49:7,17,13
12-5-17:25:49:8,16,12
12-5-17:25:49:9,17,10
12-5-17:25:50:10,16,12
12-5-17:25:50:1,17,11
12-5-17:25:50:2,16,13
12-5-17:25:50:3,17,13
12-5-17:25:50:4,17,13
12-5-17:25:50:5,17,16
12-5-17:25:50:6,16,10
12-5-17:25:50:7,16,12
12-5-17:25:50:8,16,11
12-5-17:25:50:9,16,10
12-5-17:25:51:10,16,10
12-5-17:25:51:1,16,11
12-5-17:25:51:2,16,11
12-5-17:25:51:3,16,9
12-5-17:25:51:4,16,9
12-5-17:25:51:5,16,12
12-5-17:25:51:6,16,12
12-5-17:25:51:7,16,11
12-5-17:25:51:8,16,11
12-5-17:25:51:9,16,10
12-5-17:25:52:10,17,11
12-5-17:25:52:1,16,10
12-5-17:25:52:2,16,15
12-5-17:25:52:3,16,10
12-5-17:25:52:4,16,11
12-5-17:25:52:5,16,14
12-5-17:25:52:6,16,9
12-5-17:25:52:7,16,11
12-5-17:25:52:8,16,10
12-5-17:25:52:9,16,10
12-5-17:25:53:10,16,9
12-5-17:25:53:1,16,9
12-5-17:25:53:2,16,9
12-5-17:25:53:3,16,9
12-5-17:25:53:4,16,9
12-5-17:25:53:5,16,9
12-5-17:25:53:6,16,13
12-5-17:25:53:7,16,10
12-5-17:25:53:8,15,23
12-5-17:25:53:9,16,11
12-5-17:25:54:10,16,10
12-5-17:25:54:1,16,10
12-5-17:25:54:2,16,12
12-5-17:25:54:3,16,11
12-5-17:25:54:4,16,10
12-5-17:25:54:5,16,12
12-5-17:25:54:6,17,11
12-5-17:25:54:7,16,10
12-5-17:25:54:8,15,11
12-5-17:25:54:9,17,11
12-5-17:25:55:10,16,9
12-5-17:25:55:1,16,12
12-5-17:25:55:2,16,10
12-5-17:25:55:3,16,11
12-5-17:25:55:4,16,13
12-5-17:25:55:5,16,11
12-5-17:25:55:6,16,12
12-5-17:25:55:7,16,11
12-5-17:25:55:8,17,9
12-5-17:25:55:9,16,12
12-5-17:25:56:10,16,11
12-5-17:25:56:1,16,11
12-5-17:25:56:2,16,10
12-5-17:25:56:3,17,15
12-5-17:25:56:4,17,11
12-5-17:25:56:5,17,9
12-5-17:25:56:6,17,11
12-5-17:25:56:7,16,17
12-5-17:25:56:8,16,10
12-5-17:25:56:9,16,10
12-5-17:25:57:10,16,11
12-5-17:25:57:1,16,11
12-5-17:25:57:2,16,12
12-5-17:25:57:3,17,14
12-5-17:25:57:4,17,10
12-5-17:25:57:5,16,12
12-5-17:25:57:6,17,12
12-5-17:25:57:7,17,10
12-5-17:25:57:8,16,9
12-5-17:25:57:9,16,10
12-5-17:25:58:10,16,10
12-5-17:25:58:1,16,11
12-5-17:25:58:2,16,9
12-5-17:25:58:3,16,9
12-5-17:25:58:4,15,9
12-5-17:25:58:5,16,13
12-5-17:25:58:6,16,12
12-5-17:25:58:7,16,11
12-5-17:25:58:8,16,11
12-5-17:25:58:9,16,11
12-5-17:25:59:10,16,15
12-5-17:25:59:1,16,9
12-5-17:25:59:2,16,11
12-5-17:25:59:3,16,10
12-5-17:25:59:4,16,12
12-5-17:25:59:5,16,14
12-5-17:25:59:6,16,10
12-5-17:25:59:7,16,10
12-5-17:25:59:8,15,16
12-5-17:25:59:9,16,12
12-5-17:26:0:10,16,15
12-5-17:26:0:1,16,11
12-5-17:26:0:2,17,17
12-5-17:26:0:3,17,15
12-5-17:26:0:4,16,12
12-5-17:26:0:5,16,15
12-5-17:26:0:6,16,11
12-5-17:26:0:7,16,15
12-5-17:26:0:8,16,13
12-5-17:26:0:9,16,12
12-5-17:26:1:10,15,10
12-5-17:26:1:1,16,8
12-5-17:26:1:2,16,9
12-5-17:26:1:3,16,11
12-5-17:26:1:4,15,13
12-5-17:26:1:5,16,10
12-5-17:26:1:6,16,10
12-5-17:26:1:7,16,10
12-5-17:26:1:8,16,8
12-5-17:26:1:9,16,14
12-5-17:26:2:10,16,12
12-5-17:26:2:1,16,18
12-5-17:26:2:2,16,24
12-5-17:26:2:3,16,10
12-5-17:26:2:4,15,16
12-5-17:26:2:5,16,10
12-5-17:26:2:6,16,29
12-5-17:26:2:7,16,11
12-5-17:26:2:8,16,18
12-5-17:26:2:9,16,15
12-5-17:26:3:10,16,10
12-5-17:26:3:1,15,18
12-5-17:26:3:2,16,10
12-5-17:26:3:3,16,17
12-5-17:26:3:4,16,28
12-5-17:26:3:5,15,14
12-5-17:26:3:6,16,12
12-5-17:26:3:7,15,14
12-5-17:26:3:8,16,15
12-5-17:26:3:9,15,17
12-5-17:26:4:10,16,13
12-5-17:26:4:1,17,13
12-5-17:26:4:2,16,16
12-5-17:26:4:3,16,18
12-5-17:26:4:4,16,30
12-5-17:26:4:5,16,18
12-5-17:26:4:6,17,17
12-5-17:26:4:7,16,22
12-5-17:26:4:8,16,39
12-5-17:26:4:9,16,24
12-5-17:26:5:10,15,24
12-5-17:26:5:1,17,24
12-5-17:26:5:2,15,20
12-5-17:26:5:3,17,30
12-5-17:26:5:4,16,30
12-5-17:26:5:5,17,22
12-5-17:26:5:6,16,17
12-5-17:26:5:7,17,18
12-5-17:26:5:8,16,16
12-5-17:26:5:9,17,20
12-5-17:26:6:10,16,13
12-5-17:26:6:1,16,14
12-5-17:26:6:2,16,18
12-5-17:26:6:3,16,10
12-5-17:26:6:4,16,21
12-5-17:26:6:5,16,12
12-5-17:26:6:6,16,20
12-5-17:26:6:7,16,17
12-5-17:26:6:8,16,22
12-5-17:26:6:9,16,17
12-5-17:26:7:10,16,18
12-5-17:26:7:1,16,20
12-5-17:26:7:2,16,16
12-5-17:26:7:3,16,19
12-5-17:26:7:4,15,12
