time,light,sound
12-5-17:24:31:3,55,8
12-5-17:24:31:4,55,9
12-5-17:24:31:5,54,10
12-5-17:24:31:6,54,10
12-5-17:24:31:7,55,8
12-5-17:24:31:8,54,9
12-5-17:24:31:9,54,9
12-5-17:24:32:10,54,9
12-5-17:24:32:1,54,9
12-5-17:24:32:2,54,11
12-5-17:24:32:3,55,10
12-5-17:24:32:4,54,9
12-5-17:24:32:5,55,10
12-5-17:24:32:6,54,8
12-5-17:24:32:7,54,9
12-5-17:24:32:8,54,9
12-5-17:24:32:9,54,9
12-5-17:24:33:10,54,8
12-5-17:24:33:1,54,10
12-5-17:24:33:2,53,9
12-5-17:24:33:3,55,8
12-5-17:24:33:4,54,9
12-5-17:24:33:5,54,10
12-5-17:24:33:6,54,9
12-5-17:24:33:7,55,14
12-5-17:24:33:8,55,24
12-5-17:24:33:9,54,12
12-5-17:24:34:10,55,18
12-5-17:24:34:1,54,23
12-5-17:24:34:2,54,40
12-5-17:24:34:3,54,34
12-5-17:24:34:4,55,33
12-5-17:24:34:5,54,12
12-5-17:24:34:6,54,12
12-5-17:24:34:7,55,22
12-5-17:24:34:8,55,9
12-5-17:24:34:9,54,19
12-5-17:24:35:10,54,16
12-5-17:24:35:1,53,27
12-5-17:24:35:2,55,31
12-5-17:24:35:3,54,11
12-5-17:24:35:4,54,16
12-5-17:24:35:5,54,13
12-5-17:24:35:6,54,13
12-5-17:24:35:7,54,12
12-5-17:24:35:8,54,12
12-5-17:24:35:9,55,43
12-5-17:24:36:10,55,43
12-5-17:24:36:1,54,23
12-5-17:24:36:2,54,14
12-5-17:24:36:3,54,14
12-5-17:24:36:4,54,11
12-5-17:24:36:5,54,11
12-5-17:24:36:6,54,12
12-5-17:24:36:7,54,17
12-5-17:24:36:8,54,9
12-5-17:24:36:9,54,13
12-5-17:24:37:10,54,8
12-5-17:24:37:1,54,9
12-5-17:24:37:2,54,10
12-5-17:24:37:3,54,10
12-5-17:24:37:4,54,8
12-5-17:24:37:5,54,9
12-5-17:24:37:6,53,12
12-5-17:24:37:7,53,10
12-5-17:24:37:8,54,9
12-5-17:24:37:9,53,8
12-5-17:24:38:10,54,11
12-5-17:24:38:1,54,14
12-5-17:24:38:2,53,9
12-5-17:24:38:3,53,14
12-5-17:24:38:4,54,22
12-5-17:24:38:5,54,15
12-5-17:24:38:6,54,8
12-5-17:24:38:7,54,14
12-5-17:24:38:8,54,9
12-5-17:24:38:9,54,9
12-5-17:24:39:10,54,12
12-5-17:24:39:1,53,8
12-5-17:24:39:2,53,8
12-5-17:24:39:3,54,11
12-5-17:24:39:4,54,8
12-5-17:24:39:5,54,19
12-5-17:24:39:6,54,28
12-5-17:24:39:7,53,22
12-5-17:24:39:8,54,69
12-5-17:24:39:9,54,23
12-5-17:24:40:10,54,9
12-5-17:24:40:1,54,11
12-5-17:24:40:2,54,10
12-5-17:24:40:3,54,11
12-5-17:24:40:4,54,12
12-5-17:24:40:5,54,8
12-5-17:24:40:6,53,10
12-5-17:24:40:7,54,14
12-5-17:24:40:8,54,12
12-5-17:24:40:9,53,10
12-5-17:24:41:10,53,7
12-5-17:24:41:1,53,9
12-5-17:24:41:2,54,9
12-5-17:24:41:3,53,15
12-5-17:24:41:4,54,8
12-5-17:24:41:5,54,12
12-5-17:24:41:6,53,14
12-5-17:24:41:7,54,34
12-5-17:24:41:8,54,76
12-5-17:24:41:9,53,23
12-5-17:24:42:10,53,16
12-5-17:24:42:1,53,10
12-5-17:24:42:2,53,8
12-5-17:24:42:3,54,9
12-5-17:24:42:4,53,8
12-5-17:24:42:5,53,9
12-5-17:24:42:6,53,12
12-5-17:24:42:7,54,12
12-5-17:24:42:8,54,8
12-5-17:24:42:9,54,24
12-5-17:24:43:10,54,14
12-5-17:24:43:1,54,16
12-5-17:24:43:2,53,13
12-5-17:24:43:3,54,16
12-5-17:24:43:4,53,10
12-5-17:24:43:5,53,8
12-5-17:24:43:6,53,8
12-5-17:24:43:7,54,18
12-5-17:24:43:8,54,13
12-5-17:24:43:9,53,12
12-5-17:24:44:10,53,12
12-5-17:24:44:1,53,16
12-5-17:24:44:2,54,14
12-5-17:24:44:3,53,9
12-5-17:24:44:4,53,11
12-5-17:24:44:5,53,13
12-5-17:24:44:6,53,16
12-5-17:24:44:7,53,22
12-5-17:24:44:8,54,18
12-5-17:24:44:9,53,8
12-5-17:24:45:10,54,11
12-5-17:24:45:1,53,7
12-5-17:24:45:2,54,11
12-5-17:24:45:3,53,8
12-5-17:24:45:4,53,10
12-5-17:24:45:5,53,11
12-5-17:24:45:6,53,10
12-5-17:24:45:7,52,9
12-5-17:24:45:8,53,9
12-5-17:24:45:9,53,12
12-5-17:24:46:10,53,9
12-5-17:24:46:1,53,12
12-5-17:24:46:2,53,9
12-5-17:24:46:3,53,8
12-5-17:24:46:4,53,15
12-5-17:24:46:5,53,11
12-5-17:24:46:6,53,19
12-5-17:24:46:7,53,10
12-5-17:24:46:8,54,15
12-5-17:24:46:9,52,9
12-5-17:24:47:10,53,11
12-5-17:24:47:1,53,12
12-5-17:24:47:2,53,9
12-5-17:24:47:3,52,12
12-5-17:24:47:4,53,9
12-5-17:24:47:5,52,9
12-5-17:24:47:6,52,9
12-5-17:24:47:7,53,12
12-5-17:24:47:8,53,10
12-5-17:24:47:9,52,10
12-5-17:24:48:10,53,8
12-5-17:24:48:1,52,10
12-5-17:24:48:2,53,11
12-5-17:24:48:3,52,10
12-5-17:24:48:4,52,11
12-5-17:24:48:5,51,8
12-5-17:24:48:6,52,14
12-5-17:24:48:7,52,10
12-5-17:24:48:8,52,13
12-5-17:24:48:9,52,9
12-5-17:24:49:10,52,8
12-5-17:24:49:1,52,9
12-5-17:24:49:2,51,9
12-5-17:24:49:3,52,11
12-5-17:24:49:4,52,13
12-5-17:24:49:5,52,12
12-5-17:24:49:6,52,11
12-5-17:24:49:7,51,12
12-5-17:24:49:8,52,20
12-5-17:24:49:9,52,22
12-5-17:24:50:10,52,16
12-5-17:24:50:1,52,11
12-5-17:24:50:2,51,16
12-5-17:24:50:3,51,16
12-5-17:24:50:4,51,10
12-5-17:24:50:5,51,10
12-5-17:24:50:6,52,12
12-5-17:24:50:7,52,11
12-5-17:24:50:8,52,12
12-5-17:24:50:9,52,14
12-5-17:24:51:10,52,16
12-5-17:24:51:1,52,26
12-5-17:24:51:2,52,14
12-5-17:24:51:3,52,14
12-5-17:24:51:4,52,11
12-5-17:24:51:5,52,10
12-5-17:24:51:6,51,13
12-5-17:24:51:7,52,11
12-5-17:24:51:8,52,9
12-5-17:24:51:9,51,9
12-5-17:24:52:10,52,9
12-5-17:24:52:1,52,12
12-5-17:24:52:2,51,16
12-5-17:24:52:3,52,12
12-5-17:24:52:4,51,9
12-5-17:24:52:5,52,10
12-5-17:24:52:6,51,12
12-5-17:24:52:7,51,11
12-5-17:24:52:8,52,11
12-5-17:24:52:9,51,15
12-5-17:24:53:10,51,10
12-5-17:24:53:1,52,15
12-5-17:24:53:2,51,11
12-5-17:24:53:3,52,16
12-5-17:24:53:4,52,10
12-5-17:24:53:5,51,9
12-5-17:24:53:6,51,20
12-5-17:24:53:7,51,14
12-5-17:24:53:8,51,14
12-5-17:24:53:9,51,9
12-5-17:24:54:10,51,14
12-5-17:24:54:1,51,11
12-5-17:24:54:2,51,11
12-5-17:24:54:3,51,9
12-5-17:24:54:4,51,11
12-5-17:24:54:5,51,14
12-5-17:24:54:6,51,10
12-5-17:24:54:7,51,12
12-5-17:24:54:8,51,9
12-5-17:24:54:9,51,11
12-5-17:24:55:10,51,14
12-5-17:24:55:1,52,11
12-5-17:24:55:2,52,13
12-5-17:24:55:3,52,11
12-5-17:24:55:4,51,13
12-5-17:24:55:5,51,18
12-5-17:24:55:6,51,9
12-5-17:24:55:7,52,9
12-5-17:24:55:8,51,12
12-5-17:24:55:9,51,10
12-5-17:24:56:10,52,10
12-5-17:24:56:1,51,11
12-5-17:24:56:2,51,10
12-5-17:24:56:3,51,8
12-5-17:24:56:4,52,11
12-5-17:24:56:5,50,9
12-5-17:24:56:6,51,13
12-5-17:24:56:7,51,8
12-5-17:24:56:8,51,9
12-5-17:24:56:9,52,9
12-5-17:24:57:10,52,9
12-5-17:24:57:1,52,12
12-5-17:24:57:2,52,18
12-5-17:24:57:3,52,10
12-5-17:24:57:4,52,11
12-5-17:24:57:5,52,10
12-5-17:24:57:6,52,11
12-5-17:24:57:7,52,10
12-5-17:24:57:8,51,15
12-5-17:24:57:9,51,10
12-5-17:24:58:10,51,8
12-5-17:24:58:1,52,10
12-5-17:24:58:2,52,9
12-5-17:24:58:3,51,10
12-5-17:24:58:4,52,9
12-5-17:24:58:5,52,10
12-5-17:24:58:6,51,11
12-5-17:24:58:7,52,10
12-5-17:24:58:8,52,9
12-5-17:24:58:9,52,9
12-5-17:24:59:10,52,9
12-5-17:24:59:1,52,14
12-5-17:24:59:2,52,9
12-5-17:24:59:3,52,10
12-5-17:24:59:4,52,10
12-5-17:24:59:5,51,10
12-5-17:24:59:6,52,7
12-5-17:24:59:7,52,9
12-5-17:24:59:8,53,8
12-5-17:24:59:9,52,14
12-5-17:25:0:10,52,11
12-5-17:25:0:1,53,16
12-5-17:25:0:2,52,9
12-5-17:25:0:3,52,18
12-5-17:25:0:4,52,9
12-5-17:25:0:5,52,10
12-5-17:25:0:6,53,12
12-5-17:25:0:7,52,10
12-5-17:25:0:8,52,9
12-5-17:25:0:9,52,11
12-5-17:25:1:10,52,10
12-5-17:25:1:1,52,10
12-5-17:25:1:2,52,10
12-5-17:25:1:3,52,8
12-5-17:25:1:4,51,13
12-5-17:25:1:5,52,9
12-5-17:25:1:6,52,10
12-5-17:25:1:7,51,8
12-5-17:25:1:8,52,8
12-5-17:25:1:9,52,23
12-5-17:25:2:10,53,9
12-5-17:25:2:1,52,10
12-5-17:25:2:2,52,9
12-5-17:25:2:3,52,11
12-5-17:25:2:4,52,10
12-5-17:25:2:5,52,12
12-5-17:25:2:6,52,6
12-5-17:25:2:7,52,13
12-5-17:25:2:8,51,10
12-5-17:25:2:9,52,12
12-5-17:25:3:10,53,11
12-5-17:25:3:1,52,12
12-5-17:25:3:2,52,9
12-5-17:25:3:3,52,9
12-5-17:25:3:4,51,12
12-5-17:25:3:5,52,12
12-5-17:25:3:6,52,12
12-5-17:25:3:7,52,8
12-5-17:25:3:8,52,8
12-5-17:25:3:9,51,9
12-5-17:25:4:10,52,8
12-5-17:25:4:1,51,8
12-5-17:25:4:2,53,10
12-5-17:25:4:3,52,9
12-5-17:25:4:4,51,12
12-5-17:25:4:5,52,8
12-5-17:25:4:6,52,8
12-5-17:25:4:7,52,9
12-5-17:25:4:8,51,9
12-5-17:25:4:9,51,10
12-5-17:25:5:10,52,13
12-5-17:25:5:1,52,13
12-5-17:25:5:2,52,10
12-5-17:25:5:3,51,17
12-5-17:25:5:4,52,11
12-5-17:25:5:5,52,11
12-5-17:25:5:6,52,10
12-5-17:25:5:7,52,11
12-5-17:25:5:8,51,10
12-5-17:25:5:9,52,8
12-5-17:25:6:10,52,9
12-5-17:25:6:1,52,9
12-5-17:25:6:2,51,8
12-5-17:25:6:3,51,12
12-5-17:25:6:4,51,9
12-5-17:25:6:5,51,10
12-5-17:25:6:6,51,9
12-5-17:25:6:7,50,7
12-5-17:25:6:8,50,9
12-5-17:25:6:9,52,9
12-5-17:25:7:10,52,10
12-5-17:25:7:1,51,9
12-5-17:25:7:2,51,18
12-5-17:25:7:3,51,10
12-5-17:25:7:4,51,10
12-5-17:25:7:5,52,11
12-5-17:25:7:6,52,9
12-5-17:25:7:7,51,9
12-5-17:25:7:8,51,9
12-5-17:25:7:9,51,9
12-5-17:25:8:10,51,10
12-5-17:25:8:1,52,12
12-5-17:25:8:2,51,11
12-5-17:25:8:3,51,11
12-5-17:25:8:4,51,10
12-5-17:25:8:5,51,13
12-5-17:25:8:6,51,11
12-5-17:25:8:7,51,13
12-5-17:25:8:8,51,14
12-5-17:25:8:9,51,12
12-5-17:25:9:10,51,8
12-5-17:25:9:1,51,10
12-5-17:25:9:2,51,16
12-5-17:25:9:3,51,8
12-5-17:25:9:4,51,9
12-5-17:25:9:5,52,9
12-5-17:25:9:6,50,9
12-5-17:25:9:7,51,9
12-5-17:25:9:8,51,10
12-5-17:25:9:9,51,9
12-5-17:25:10:10,52,11
12-5-17:25:10:1,50,9
12-5-17:25:10:2,51,9
12-5-17:25:10:3,51,10
12-5-17:25:10:4,51,7
12-5-17:25:10:5,51,13
12-5-17:25:10:6,51,7
12-5-17:25:10:7,51,11
12-5-17:25:10:8,51,10
12-5-17:25:10:9,51,11
12-5-17:25:11:10,50,9
12-5-17:25:11:1,51,10
12-5-17:25:11:2,52,9
12-5-17:25:11:3,51,10
12-5-17:25:11:4,52,11
12-5-17:25:11:5,50,11
12-5-17:25:11:6,51,12
12-5-17:25:11:7,51,10
12-5-17:25:11:8,51,10
12-5-17:25:11:9,52,11
12-5-17:25:12:10,50,17
12-5-17:25:12:1,51,11
12-5-17:25:12:2,51,21
12-5-17:25:12:3,51,16
12-5-17:25:12:4,51,19
12-5-17:25:12:5,51,12
12-5-17:25:12:6,51,10
12-5-17:25:12:7,51,19
12-5-17:25:12:8,51,11
12-5-17:25:12:9,50,9
12-5-17:25:13:10,51,9
12-5-17:25:13:1,52,30
12-5-17:25:13:2,51,21
12-5-17:25:13:3,50,9
12-5-17:25:13:4,51,14
12-5-17:25:13:5,51,10
12-5-17:25:13:6,51,9
12-5-17:25:13:7,51,18
12-5-17:25:13:8,50,18
12-5-17:25:13:9,50,18
12-5-17:25:14:10,50,10
12-5-17:25:14:1,50,10
12-5-17:25:14:2,51,12
12-5-17:25:14:3,51,10
12-5-17:25:14:4,51,10
12-5-17:25:14:5,51,12
12-5-17:25:14:6,50,11
12-5-17:25:14:7,50,7
12-5-17:25:14:8,51,18
12-5-17:25:14:9,50,11
12-5-17:25:15:10,50,15
12-5-17:25:15:1,51,15
12-5-17:25:15:2,51,10
12-5-17:25:15:3,51,10
12-5-17:25:15:4,50,23
12-5-17:25:15:5,50,12
12-5-17:25:15:6,50,15
12-5-17:25:15:7,50,36
12-5-17:25:15:8,52,15
12-5-17:25:15:9,50,13
12-5-17:25:16:10,50,13
12-5-17:25:16:1,50,11
12-5-17:25:16:2,51,9
12-5-17:25:16:3,50,11
12-5-17:25:16:4,50,9
12-5-17:25:16:5,50,12
12-5-17:25:16:6,49,11
12-5-17:25:16:7,50,11
12-5-17:25:16:8,50,12
12-5-17:25:16:9,50,13
12-5-17:25:17:10,50,11
12-5-17:25:17:1,50,10
12-5-17:25:17:2,50,10
12-5-17:25:17:3,50,18
12-5-17:25:17:4,51,10
12-5-17:25:17:5,49,11
12-5-17:25:17:6,50,10
12-5-17:25:17:7,50,19
12-5-17:25:17:8,50,10
12-5-17:25:17:9,50,9
12-5-17:25:18:10,50,20
12-5-17:25:18:1,49,19
12-5-17:25:18:2,49,16
12-5-17:25:18:3,49,23
12-5-17:25:18:4,49,9
12-5-17:25:18:5,49,16
