time,light,sound
12-5-17:24:51:3,52,15
12-5-17:24:51:4,52,28
12-5-17:24:51:5,52,18
12-5-17:24:51:6,52,25
12-5-17:24:51:7,52,24
12-5-17:24:51:8,52,22
12-5-17:24:51:9,52,24
12-5-17:24:52:10,52,25
12-5-17:24:52:1,52,19
12-5-17:24:52:2,52,17
12-5-17:24:52:3,51,26
12-5-17:24:52:4,52,31
12-5-17:24:52:5,52,28
12-5-17:24:52:6,53,33
12-5-17:24:52:7,53,12
12-5-17:24:52:8,53,12
12-5-17:24:52:9,54,15
12-5-17:24:53:10,53,10
12-5-17:24:53:1,53,16
12-5-17:24:53:2,53,31
12-5-17:24:53:3,53,17
12-5-17:24:53:4,53,24
12-5-17:24:53:5,53,11
12-5-17:24:53:6,54,13
12-5-17:24:53:7,53,27
12-5-17:24:53:8,54,15
12-5-17:24:53:9,53,27
12-5-17:24:54:10,53,16
12-5-17:24:54:1,53,17
12-5-17:24:54:2,53,17
12-5-17:24:54:3,53,10
12-5-17:24:54:4,53,10
12-5-17:24:54:5,53,22
12-5-17:24:54:6,53,22
12-5-17:24:54:7,53,19
12-5-17:24:54:8,53,19
12-5-17:24:54:9,52,22
12-5-17:24:55:10,53,16
12-5-17:24:55:1,53,14
12-5-17:24:55:2,53,23
12-5-17:24:55:3,53,24
12-5-17:24:55:4,52,27
12-5-17:24:55:5,52,23
12-5-17:24:55:6,53,33
12-5-17:24:55:7,53,20
12-5-17:24:55:8,53,13
12-5-17:24:55:9,53,18
12-5-17:24:56:10,53,18
12-5-17:24:56:1,53,11
12-5-17:24:56:2,54,13
12-5-17:24:56:3,53,14
12-5-17:24:56:4,53,15
12-5-17:24:56:5,53,12
12-5-17:24:56:6,53,23
12-5-17:24:56:7,53,20
12-5-17:24:56:8,53,16
12-5-17:24:56:9,53,19
12-5-17:24:57:10,53,9
12-5-17:24:57:1,53,21
12-5-17:24:57:2,52,15
12-5-17:24:57:3,52,27
12-5-17:24:57:4,53,14
12-5-17:24:57:5,53,12
12-5-17:24:57:6,54,16
12-5-17:24:57:7,54,21
12-5-17:24:57:8,54,12
12-5-17:24:57:9,54,24
12-5-17:24:58:10,54,23
12-5-17:24:58:1,54,14
12-5-17:24:58:2,54,13
12-5-17:24:58:3,55,27
12-5-17:24:58:4,54,12
12-5-17:24:58:5,55,15
12-5-17:24:58:6,55,31
12-5-17:24:58:7,55,15
12-5-17:24:58:8,55,27
12-5-17:24:58:9,55,12
12-5-17:24:59:10,55,17
12-5-17:24:59:1,56,12
12-5-17:24:59:2,55,11
12-5-17:24:59:3,55,12
12-5-17:24:59:4,55,22
12-5-17:24:59:5,55,16
12-5-17:24:59:6,55,20
12-5-17:24:59:7,56,11
12-5-17:24:59:8,55,12
12-5-17:24:59:9,55,16
12-5-17:25:0:10,56,17
12-5-17:25:0:1,54,18
12-5-17:25:0:2,54,26
12-5-17:25:0:3,55,13
12-5-17:25:0:4,55,12
12-5-17:25:0:5,55,26
12-5-17:25:0:6,54,11
12-5-17:25:0:7,54,14
12-5-17:25:0:8,54,23
12-5-17:25:0:9,54,11
12-5-17:25:1:10,53,16
12-5-17:25:1:1,54,18
12-5-17:25:1:2,54,16
12-5-17:25:1:3,55,16
12-5-17:25:1:4,56,15
12-5-17:25:1:5,55,22
12-5-17:25:1:6,55,13
12-5-17:25:1:7,55,15
12-5-17:25:1:8,55,17
12-5-17:25:1:9,55,13
12-5-17:25:2:10,55,13
12-5-17:25:2:1,55,11
12-5-17:25:2:2,55,16
12-5-17:25:2:3,55,13
12-5-17:25:2:4,55,16
12-5-17:25:2:5,55,21
12-5-17:25:2:6,55,31
12-5-17:25:2:7,55,13
12-5-17:25:2:8,55,16
12-5-17:25:2:9,55,11
12-5-17:25:3:10,55,11
12-5-17:25:3:1,55,17
12-5-17:25:3:2,55,14
12-5-17:25:3:3,56,17
12-5-17:25:3:4,55,12
12-5-17:25:3:5,54,11
12-5-17:25:3:6,55,20
12-5-17:25:3:7,55,23
12-5-17:25:3:8,54,13
12-5-17:25:3:9,54,10
12-5-17:25:4:10,53,13
12-5-17:25:4:1,53,15
12-5-17:25:4:2,53,23
12-5-17:25:4:3,54,12
12-5-17:25:4:4,54,12
12-5-17:25:4:5,54,12
12-5-17:25:4:6,55,13
12-5-17:25:4:7,54,22
12-5-17:25:4:8,54,21
12-5-17:25:4:9,55,13
12-5-17:25:5:10,55,14
12-5-17:25:5:1,55,13
12-5-17:25:5:2,55,11
12-5-17:25:5:3,55,15
12-5-17:25:5:4,55,15
12-5-17:25:5:5,55,22
12-5-17:25:5:6,55,26
12-5-17:25:5:7,54,11
12-5-17:25:5:8,55,17
12-5-17:25:5:9,55,30
12-5-17:25:6:10,55,12
12-5-17:25:6:1,54,20
12-5-17:25:6:2,55,27
12-5-17:25:6:3,55,13
12-5-17:25:6:4,55,10
12-5-17:25:6:5,55,15
12-5-17:25:6:6,55,18
12-5-17:25:6:7,55,19
12-5-17:25:6:8,55,12
12-5-17:25:6:9,55,17
12-5-17:25:7:10,55,13
12-5-17:25:7:1,55,10
